disease_id,disease_name,icd10_code,category,risk_level,severity,prevalence_rate,common_symptoms,key_diagnostic_markers,prevention_guidelines,diet_recommendations,exercise_recommendations,urgent_warning_signs
DIS_00001,Malaria (Plasmodium Falciparum),B50.9,Infectious Diseases & Virology,High,Severe,"1 in 2,500 individuals globally","High Grade Fever; Chills with Shivering; Profuse Night Sweats; Generalized Malaise; Acute Dry Cough","Elevated inflammatory CRP, CBC differential, targeted imaging/serology",Use insecticide-treated bed nets and prophylactic antimalarial medication.,"Electrolyte broths, citrus fruits, soft rice congee, and fresh coconut water.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"Blackwater urine, extreme delirium, or convulsions."
DIS_00002,Dengue Hemorrhagic Fever,A97.9,Infectious Diseases & Virology,High,Severe,"1 in 2,500 individuals globally","High Grade Fever; Throbbing Hemicranial Headache; Severe Abdominal Cramping; Easy Bruising","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","Vector control, eliminate standing water, mosquito repellents.","Papaya leaf extract, pomegranate juice, oral rehydration fluids.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"Sudden platelet drop, mucosal bleeding, severe abdominal pain."
DIS_00003,Typhoid Fever (Enteric Fever),A01.0,Infectious Diseases & Virology,Moderate,Moderate,"1 in 2,500 individuals globally","Intermittent Fever; Severe Abdominal Cramping; Loss of Appetite; Watery Diarrhea","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","Safe drinking water, typhoid vaccination, food sanitation.","High-calorie bland liquids, boiled potatoes, strained vegetable soups.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"Intestinal perforation, extreme delirium, high spiking pyrexia."
DIS_00004,COVID-19 (SARS-CoV-2),U07.1,Infectious Diseases & Virology,Moderate,Moderate,"1 in 2,500 individuals globally","Low Grade Fever; Acute Dry Cough; Loss of Appetite; Shortness of Breath at Rest","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","Airborne filtration, vaccination, KN95 masking during outbreaks.","Zinc, Vitamin C, warm broths, ginger honey infusions.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"SpO2 drops below 92%, severe dyspnea, cyanosis."
DIS_00005,Community-Acquired Pneumonia,J18.9,Pulmonology & Respiratory Medicine,High,Severe,"1 in 2,500 individuals globally","Productive Mucopurulent Cough; High Grade Fever; Pleuritic Chest Pain; Rapid Shallow Respiration","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","Pneumococcal and influenza vaccination, smoking cessation.","Antioxidant-rich foods, garlic, warm bone broths, herbal teas.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"Confusion in elderly, coughing frank blood, severe hypoxemia."
DIS_00006,Bronchial Asthma Flare-Up,J45.901,Pulmonology & Respiratory Medicine,Moderate,Moderate,"1 in 2,500 individuals globally","Expiratory Wheezing; Shortness of Breath at Rest; Acute Dry Cough; Pleuritic Chest Pain","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","Avoid allergens, cold air, use maintenance inhaled corticosteroids.","Magnesium-rich foods, dark leafy greens, omega-3 fatty acids.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"Silent chest on auscultation, inability to complete full sentences."
DIS_00007,Acute Myocardial Infarction (Heart Attack),I21.9,Cardiology & Vascular Medicine,Critical,Severe,"1 in 2,500 individuals globally","Crushing Retrosternal Chest Pain; Profuse Night Sweats; Cold Clammy Extremities; Shortness of Breath at Rest","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","Cardiovascular risk reduction, statin therapy, BP management.","Strict low-sodium Mediterranean diet, heart-healthy olive oil.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"Radiating jaw/arm pain, syncope, diaphoresis."
DIS_00008,Essential Hypertension,I10,Cardiology & Vascular Medicine,Moderate,Moderate,"1 in 2,500 individuals globally","Throbbing Hemicranial Headache; Heart Palpitations; Pulsatile Tinnitus; Generalized Malaise","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","DASH diet, daily aerobic walking, sodium restriction under 2g.","Potassium-rich bananas, spinach, flaxseeds, low sodium.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"Systolic BP >180 mmHg, vision blurring, acute chest tightness."
DIS_00009,Type 2 Diabetes Mellitus,E11.9,Endocrinology & Metabolic Disorders,Moderate,Moderate,"1 in 2,500 individuals globally","Extreme Thirst; Unexplained Weight Loss; Chronic Fatigue; Generalized Malaise","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","Low glycemic nutrition, weight management, daily physical exercise.","Complex carbohydrates, legumes, cinnamon, high fiber veggies.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"Fasting glucose >250 mg/dL, ketone breath, non-healing ulcers."
DIS_00010,Acute Ischemic Stroke,I63.9,Neurology & Neurosciences,Critical,Severe,"1 in 2,500 individuals globally","Facial Droop & Asymmetry; Unilateral Arm or Leg Weakness; Slurred Speech / Aphasia; Thunderclap Headache","Elevated inflammatory CRP, CBC differential, targeted imaging/serology","Atrial fibrillation anticoagulation, blood pressure control.","Brain-healthy MIND diet, berries, walnuts, salmon.",Light to moderate aerobic exercise 3-4 times per week as tolerated.,"BE-FAST symptoms: Loss of balance, eye changes, face arm speech."
