symptom_id,symptom_name,medical_term,category,body_system,severity_weight,urgency_level,common_aliases,description
SYM_00001,High Grade Fever,Hyperpyrexia (>38.9°C),General & Systemic,General,7,Moderate,"high temp; severe fever; burning up",Body temperature significantly above normal homeostatic setpoint
SYM_00002,Low Grade Fever,Subfebrile Pyrexia (37.5-38.3°C),General & Systemic,General,4,Low,"mild fever; warm feeling; subfebrile",Mild persistent body temperature elevation
SYM_00003,Intermittent Fever,Quotidian / Tertian Pyrexia,General & Systemic,General,6,Moderate,"cyclical fever; spiking temperature; malaria chills",Fever spikes cycling with normal temperature windows
SYM_00004,Chills with Shivering,Rigors & Shivering,General & Systemic,General,6,Moderate,"rigors; teeth chattering; cold shivers",Violent involuntary muscle contractions with cold sensation
SYM_00005,Chronic Fatigue,Profound Asthenia & Lethargy,General & Systemic,General,6,Low,"exhaustion; burnout; low vitality; lethargy",Unremitting physical exhaustion unrelieved by rest
SYM_00006,Unexplained Weight Loss,Cachectic Wasting / Anorexia,General & Systemic,General,7,Moderate,"wasting; dropping weight; slimming",Loss of >5% body mass over 6 months without caloric restriction
SYM_00007,Rapid Weight Gain,Acute Fluid Retention / Adiposity,General & Systemic,General,5,Low,"fluid buildup; puffiness; bloat weight",Abrupt increase in body weight due to fluid shifts or metabolic drop
SYM_00008,Profuse Night Sweats,Nocturnal Diaphoresis,General & Systemic,General,6,Moderate,"sweating during sleep; hot night flushes",Severe perspiration drenching nightwear and bedsheets
SYM_00009,Loss of Appetite,Anorexia,General & Systemic,General,5,Low,"poor appetite; no appetite; food aversion",Marked reduction in desire for food intake
SYM_00010,Generalized Malaise,Systemic Malaise,General & Systemic,General,4,Low,"feeling unwell; sickly; body weakness",Vague overall feeling of bodily discomfort and illness
SYM_00011,Cold Intolerance,Thermoregulatory Hypersensitivity,General & Systemic,General,4,Low,"always cold; freezing easily; hypothyroid chill",Extreme sensitivity and discomfort in cool or ambient environments
SYM_00012,Heat Intolerance,Hyperthermic Sensitivity,General & Systemic,General,4,Low,"overheating easily; heat flushes",Disproportionate distress and profuse perspiration in warm environments
SYM_00013,Generalized Edema,Anasarca / Peripheral Edema,General & Systemic,General,7,High,"full body swelling; water retention; puffy body",Widespread interstitial fluid accumulation in extremities and torso
SYM_00014,Easy Bruising,Ecchymosis / Purpura,General & Systemic,General,6,Moderate,"bleeding under skin; black and blue marks",Spontaneous or disproportionate subcutaneous hematomas after minor trauma
SYM_00015,Extreme Thirst,Polydipsia,General & Systemic,General,6,Moderate,"constant thirst; dry throat thirst; sugar thirst","Excessive, insatiable thirst and parched oral mucous membranes"
SYM_00016,Acute Dry Cough,Non-Productive Tussis,Respiratory & Pulmonary,Respiratory,4,Low,"tickly cough; dry throat cough; hacking",Dry hacking cough without sputum expectoration
SYM_00017,Productive Mucopurulent Cough,Productive Sputum Tussis,Respiratory & Pulmonary,Respiratory,6,Moderate,"wet cough; phlegmy cough; chest congestion","Cough yielding thick yellow, green, or rusty mucus"
SYM_00018,Coughing Blood,Hemoptysis,Respiratory & Pulmonary,Respiratory,9,Critical,"bloody sputum; blood from lungs; red cough",Expectoration of blood-tinged sputum or frank red blood
SYM_00019,Shortness of Breath at Rest,Dyspnea at Rest,Respiratory & Pulmonary,Respiratory,8,Critical,"gasping; breathlessness; air hunger",Severe breathing struggle or air hunger without physical exertion
SYM_00020,Exertional Breathlessness,Exertional Dyspnea,Respiratory & Pulmonary,Respiratory,6,Moderate,"winded quickly; out of breath easily",Disproportionate breathing difficulty triggered by mild stair climbing
SYM_00021,Expiratory Wheezing,Bronchospastic Wheeze,Respiratory & Pulmonary,Respiratory,6,Moderate,"asthmatic sound; whistling chest; bronchial tight",High-pitched musical whistling during exhalation caused by narrow airways
SYM_00022,Pleuritic Chest Pain,Pleurisy / Pleuritic Pain,Respiratory & Pulmonary,Respiratory,7,High,"knife-like lung pain; pain taking deep breath",Sharp stabbing chest pain worsened by deep inspiration or coughing
SYM_00023,Stridor,Upper Airway Inspiratory Stridor,Respiratory & Pulmonary,Respiratory,9,Critical,"choking noise; croup breath; windpipe narrowing","Harsh, vibrating sound during inspiration signaling upper airway occlusion"
SYM_00024,Orthopnea,Positional Dyspnea,Respiratory & Pulmonary,Respiratory,8,High,"cannot breathe flat; pillow propping; heart failure breathing","Difficulty breathing when lying recumbent flat, requiring elevated pillows"
SYM_00025,Rapid Shallow Respiration,Tachypnea,Respiratory & Pulmonary,Respiratory,7,Moderate,"panting; hyperventilating; fast breathing",Respiratory rate exceeding 24 breaths per minute at baseline
SYM_00026,Crushing Retrosternal Chest Pain,Angina Pectoris,Cardiovascular & Circulatory,Cardiovascular,10,Critical,"heart attack pain; elephant on chest; cardiac squeeze",Heavy squeezing retrosternal pressure radiating to left arm or jaw
SYM_00027,Heart Palpitations,Tachyarrhythmia / Palpitation,Cardiovascular & Circulatory,Cardiovascular,6,Moderate,"racing pulse; skipping beats; fluttering chest","Conscious awareness of rapid, irregular, fluttering, or bounding heartbeats"
SYM_00028,Syncope / Fainting,Transient Loss of Consciousness,Cardiovascular & Circulatory,Cardiovascular,8,Critical,"blacking out; passing out; collapse",Sudden brief blackout caused by cerebral hypoperfusion
SYM_00029,Bilateral Ankle Swelling,Peripheral Pitting Edema,Cardiovascular & Circulatory,Cardiovascular,6,Moderate,"swollen feet; sock indent marks; fluid ankles",Depression-leaving fluid swelling around ankles and lower shins
SYM_00030,Cold Clammy Extremities,Peripheral Vasoconstriction / Shock,Cardiovascular & Circulatory,Cardiovascular,8,Critical,"ice cold hands; clammy skin; poor perfusion","Icy, sweaty skin on fingers and toes indicating circulatory compromise"
SYM_00031,Intermittent Claudication,Peripheral Arterial Ischemia,Cardiovascular & Circulatory,Cardiovascular,6,Moderate,"walking leg cramps; artery pain in legs",Cramping calf or thigh pain provoked by walking and relieved by rest
SYM_00032,Pulsatile Tinnitus,Vascular Bruit,Cardiovascular & Circulatory,Cardiovascular,5,Low,"heartbeat in ear; whooshing ears",Rhythmic whooshing or throbbing sound in ears synchronized with pulse
SYM_00033,Cyanosis of Lips & Nails,Central & Peripheral Cyanosis,Cardiovascular & Circulatory,Cardiovascular,9,Critical,"blue lips; blue fingernails; low oxygen color","Bluish-purple discoloration of lips, mucous membranes, or nail beds"
SYM_00034,Epigastric Burning Pain,Dyspepsia / Pyrosis,Gastrointestinal & Digestive,Gastrointestinal,5,Low,"heartburn; acid reflux; stomach acid burn",Retrosternal and upper abdominal burning sensation after meals
SYM_00035,Severe Abdominal Cramping,Visceral Colic,Gastrointestinal & Digestive,Gastrointestinal,7,Moderate,"gut cramps; stomach knots; intestinal spasm",Intense wave-like abdominal pain with muscle guarding
SYM_00036,Persistent Nausea,Nausea & Emesis Urge,Gastrointestinal & Digestive,Gastrointestinal,5,Low,"queasy stomach; feeling barfy; morning sickness urge",Queasiness and urge to vomit without abdominal relief
SYM_00037,Bilious Vomiting,Bile Emesis,Gastrointestinal & Digestive,Gastrointestinal,7,Moderate,"green vomit; vomiting on empty stomach",Vomiting yellow-green gastric fluids and bile
SYM_00038,Coffee-Ground Vomitus,Hematemesis,Gastrointestinal & Digestive,Gastrointestinal,10,Critical,"vomiting blood; dark stomach bleeding",Vomiting altered dark coagulated blood resembling coffee grounds
