Symptom,weight
itching,2
skin_rash,3
nodal_skin_eruptions,4
continuous_sneezing,2
shivering,3
chills,4
joint_pain,4
stomach_pain,3
acidity,4
ulcers_on_tongue,2
muscle_wasting,3
vomiting,5
burning_micturition,2
spotting_urination,3
fatigue,4
weight_gain,2
anxiety,3
cold_hands_and_feets,4
mood_swings,2
weight_loss,3
restlessness,4
lethargy,2
patches_in_throat,3
irregular_sugar_level,4
cough,4
high_fever,6
sunken_eyes,4
breathlessness,7
sweating,5
dehydration,4
indigestion,2
headache,4
yellowish_skin,4
dark_urine,2
nausea,3
loss_of_appetite,4
pain_behind_the_eyes,2
back_pain,3
constipation,4
abdominal_pain,2
diarrhoea,5
mild_fever,4
yellow_urine,2
yellowing_of_eyes,6
acute_liver_failure,7
fluid_overload,2
swelling_of_stomach,3
swelled_lymph_nodes,4
malaise,2
blurred_and_distorted_vision,5
phlegm,4
throat_irritation,2
redness_of_eyes,3
sinus_pressure,4
runny_nose,2
congestion,3
chest_pain,7
weakness_in_limbs,2
fast_heart_rate,3
pain_during_bowel_movements,4
pain_in_anal_region,2
bloody_stool,3
irritation_in_anus,4
neck_pain,2
dizziness,3
cramps,4
bruising,2
obesity,3
swollen_legs,4
swollen_blood_vessels,2
puffy_face_and_eyes,3
enlarged_thyroid,4
brittle_nails,2
swollen_extremeties,3
excessive_hunger,4
extra_marital_contacts,2
drying_and_tingling_lips,3
slurred_speech,4
knee_pain,2
hip_joint_pain,3
muscle_weakness,4
stiff_neck,2
swelling_joints,3
movement_stiffness,4
spinning_movements,2
loss_of_balance,3
unsteadiness,4
weakness_of_one_body_side,2
loss_of_smell,3
bladder_discomfort,4
foul_smell_of_urine,2
continuous_feel_of_urine,3
passage_of_gases,4
internal_itching,2
toxic_look_(typhos),3
depression,4
irritability,2
muscle_pain,3
altered_sensorium,6
red_spots_over_body,2
belly_pain,3
abnormal_menstruation,4
dischromic_patches,2
watering_from_eyes,3
increased_appetite,4
polyuria,2
family_history,3
mucoid_sputum,4
rusty_sputum,2
lack_of_concentration,3
visual_disturbances,4
receiving_blood_transfusion,2
receiving_unsterile_injections,3
coma,7
stomach_bleeding,7
distention_of_abdomen,3
history_of_alcohol_consumption,4
fluid_overload.1,2
blood_in_sputum,3
prominent_veins_on_calf,4
palpitations,2
painful_walking,3
pus_filled_pimples,4
blackheads,2
scurring,3
skin_peeling,4
silver_like_dusting,2
small_dents_in_nails,3
inflammatory_nails,4
blister,2
red_sore_around_nose,3
yellow_crust_ooze,4
