disease_id,disease_name,symptom_id,symptom_name,association_weight,is_primary_symptom
DIS_00001,Malaria (Plasmodium Falciparum),SYM_00001,High Grade Fever,0.95,1
DIS_00001,Malaria (Plasmodium Falciparum),SYM_00004,Chills with Shivering,0.83,0
DIS_00001,Malaria (Plasmodium Falciparum),SYM_00008,Profuse Night Sweats,0.71,0
DIS_00001,Malaria (Plasmodium Falciparum),SYM_00010,Generalized Malaise,0.59,0
DIS_00001,Malaria (Plasmodium Falciparum),SYM_00016,Acute Dry Cough,0.47,0
DIS_00002,Dengue Hemorrhagic Fever,SYM_00001,High Grade Fever,0.95,1
DIS_00002,Dengue Hemorrhagic Fever,SYM_00045,Throbbing Hemicranial Headache,0.83,0
DIS_00002,Dengue Hemorrhagic Fever,SYM_00035,Severe Abdominal Cramping,0.71,0
DIS_00002,Dengue Hemorrhagic Fever,SYM_00014,Easy Bruising,0.59,0
DIS_00003,Typhoid Fever (Enteric Fever),SYM_00003,Intermittent Fever,0.95,1
DIS_00003,Typhoid Fever (Enteric Fever),SYM_00035,Severe Abdominal Cramping,0.83,0
DIS_00003,Typhoid Fever (Enteric Fever),SYM_00009,Loss of Appetite,0.71,0
DIS_00003,Typhoid Fever (Enteric Fever),SYM_00039,Watery Diarrhea,0.59,0
DIS_00004,COVID-19 (SARS-CoV-2),SYM_00002,Low Grade Fever,0.95,1
DIS_00004,COVID-19 (SARS-CoV-2),SYM_00016,Acute Dry Cough,0.83,0
DIS_00004,COVID-19 (SARS-CoV-2),SYM_00009,Loss of Appetite,0.71,0
DIS_00004,COVID-19 (SARS-CoV-2),SYM_00019,Shortness of Breath at Rest,0.59,0
DIS_00005,Community-Acquired Pneumonia,SYM_00017,Productive Mucopurulent Cough,0.95,1
DIS_00005,Community-Acquired Pneumonia,SYM_00001,High Grade Fever,0.83,0
DIS_00005,Community-Acquired Pneumonia,SYM_00022,Pleuritic Chest Pain,0.71,0
DIS_00005,Community-Acquired Pneumonia,SYM_00025,Rapid Shallow Respiration,0.59,0
DIS_00006,Bronchial Asthma Flare-Up,SYM_00021,Expiratory Wheezing,0.95,1
DIS_00006,Bronchial Asthma Flare-Up,SYM_00019,Shortness of Breath at Rest,0.83,0
DIS_00006,Bronchial Asthma Flare-Up,SYM_00016,Acute Dry Cough,0.71,0
DIS_00006,Bronchial Asthma Flare-Up,SYM_00022,Pleuritic Chest Pain,0.59,0
